,title,title_detail_type,title_detail_language,title_detail_base,title_detail_value,links_rel,links_type,links_href,link,published,published_parsed,summary,summary_detail_type,summary_detail_language,summary_detail_base,summary_detail_value,id,guidislink,source
0,Yamaha Expands Offerings for Vinyl Lovers in the Smart Home: Introducing the MusicCast VINYL 500 Wi-Fi Turntable in White,text/plain,,http://www.prweb.com/rss2/daily.xml,Yamaha Expands Offerings for Vinyl Lovers in the Smart Home: Introducing the MusicCast VINYL 500 Wi-Fi Turntable in White,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16698464/tN_148811_NewsImage_vcsPRAsset_522654_148811_745725a5-2675-4331-9588-e8b3dd6ef25e_0.png,https://www.prweb.com/releases/yamaha_expands_offerings_for_vinyl_lovers_in_the_smart_home_introducing_the_musiccast_vinyl_500_wi_fi_turntable_in_white/prweb16698464.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>The Yamaha MusicCast VINYL 500 turntable combines classic Hi-Fi playback with Wi-Fi streaming to satisfy the resurgent interest in vinyl and bring the turntable into the modern era. Now with a white version, it’s never been easier for enthusiasts to integrate their love of vinyl with their home decor and entertainment setup. The MusicCast VINYL 500 supports wireless playback to other rooms with MusicCast-enabled speakers, offers built-in streaming services and works with the most popular voice control assistants.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/yamaha_expands_offerings_for_vinyl_lovers_in_the_smart_home_introducing_the_musiccast_vinyl_500_wi_fi_turntable_in_white/prweb16698464.htm"" rel=""nofollow"">https://www.prweb.com/releases/yamaha_expands_offerings_for_vinyl_lovers_in_the_smart_home_introducing_the_musiccast_vinyl_500_wi_fi_turntable_in_white/prweb16698464.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>The Yamaha MusicCast VINYL 500 turntable combines classic Hi-Fi playback with Wi-Fi streaming to satisfy the resurgent interest in vinyl and bring the turntable into the modern era. Now with a white version, it’s never been easier for enthusiasts to integrate their love of vinyl with their home decor and entertainment setup. The MusicCast VINYL 500 supports wireless playback to other rooms with MusicCast-enabled speakers, offers built-in streaming services and works with the most popular voice control assistants.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/yamaha_expands_offerings_for_vinyl_lovers_in_the_smart_home_introducing_the_musiccast_vinyl_500_wi_fi_turntable_in_white/prweb16698464.htm"" rel=""nofollow"">https://www.prweb.com/releases/yamaha_expands_offerings_for_vinyl_lovers_in_the_smart_home_introducing_the_musiccast_vinyl_500_wi_fi_turntable_in_white/prweb16698464.htm</a></p>",https://www.prweb.com/releases/yamaha_expands_offerings_for_vinyl_lovers_in_the_smart_home_introducing_the_musiccast_vinyl_500_wi_fi_turntable_in_white/prweb16698464.htm,False,prweb
14,Anchor Stablecoin is Now Live and Available for Trading on IDEX Exchange,text/plain,,http://www.prweb.com/rss2/daily.xml,Anchor Stablecoin is Now Live and Available for Trading on IDEX Exchange,alternate,text/html,https://www.prweb.com/releases/anchor_stablecoin_is_now_live_and_available_for_trading_on_idex_exchange/prweb16681603.htm,https://www.prweb.com/releases/anchor_stablecoin_is_now_live_and_available_for_trading_on_idex_exchange/prweb16681603.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Anchor (ANCT) is first to market as the next-generation wave of stablecoins and the future of digital global currencies</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/anchor_stablecoin_is_now_live_and_available_for_trading_on_idex_exchange/prweb16681603.htm"" rel=""nofollow"">https://www.prweb.com/releases/anchor_stablecoin_is_now_live_and_available_for_trading_on_idex_exchange/prweb16681603.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Anchor (ANCT) is first to market as the next-generation wave of stablecoins and the future of digital global currencies</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/anchor_stablecoin_is_now_live_and_available_for_trading_on_idex_exchange/prweb16681603.htm"" rel=""nofollow"">https://www.prweb.com/releases/anchor_stablecoin_is_now_live_and_available_for_trading_on_idex_exchange/prweb16681603.htm</a></p>",https://www.prweb.com/releases/anchor_stablecoin_is_now_live_and_available_for_trading_on_idex_exchange/prweb16681603.htm,False,prweb
34,"EduTech Company 3.14 Co., LTD Announces the Launch of Kamibot Pi, The Company's Second Kickstarter Project",text/plain,,http://www.prweb.com/rss2/daily.xml,"EduTech Company 3.14 Co., LTD Announces the Launch of Kamibot Pi, The Company's Second Kickstarter Project",enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16692155/tN_82550_NewsImage_vcsPRAsset_3429209_82550_4593ab44-a7e2-426e-a793-b39964f219cc_0.png,https://www.prweb.com/releases/edutech_company_3_14_co_ltd_announces_the_launch_of_kamibot_pi_the_company_s_second_kickstarter_project/prweb16692155.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>After successfully funding the original Kamibot on Kickstarter, 3.14 Co., LTD used the feedback they received from their backers to create Kamibot Pi. The product has launched on Kickstarter and will be looking to raise at least $10,000.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/edutech_company_3_14_co_ltd_announces_the_launch_of_kamibot_pi_the_company_s_second_kickstarter_project/prweb16692155.htm"" rel=""nofollow"">https://www.prweb.com/releases/edutech_company_3_14_co_ltd_announces_the_launch_of_kamibot_pi_the_company_s_second_kickstarter_project/prweb16692155.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>After successfully funding the original Kamibot on Kickstarter, 3.14 Co., LTD used the feedback they received from their backers to create Kamibot Pi. The product has launched on Kickstarter and will be looking to raise at least $10,000.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/edutech_company_3_14_co_ltd_announces_the_launch_of_kamibot_pi_the_company_s_second_kickstarter_project/prweb16692155.htm"" rel=""nofollow"">https://www.prweb.com/releases/edutech_company_3_14_co_ltd_announces_the_launch_of_kamibot_pi_the_company_s_second_kickstarter_project/prweb16692155.htm</a></p>",https://www.prweb.com/releases/edutech_company_3_14_co_ltd_announces_the_launch_of_kamibot_pi_the_company_s_second_kickstarter_project/prweb16692155.htm,False,prweb
32,Bruce Makowsky's Mansion Sells for $94M Solidifying Williams and Williams in Real Estate History,text/plain,,http://www.prweb.com/rss2/daily.xml,Bruce Makowsky's Mansion Sells for $94M Solidifying Williams and Williams in Real Estate History,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/01/16694465/tN_69044_924%20.png,https://www.prweb.com/releases/bruce_makowsky_s_mansion_sells_for_94m_solidifying_williams_and_williams_in_real_estate_history/prweb16694465.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Developer Bruce Makowsky’s Bel Air spec mansion is the 3rd highest sale of the year and a much needed shot in the arm to LA’s luxury real estate market.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/bruce_makowsky_s_mansion_sells_for_94m_solidifying_williams_and_williams_in_real_estate_history/prweb16694465.htm"" rel=""nofollow"">https://www.prweb.com/releases/bruce_makowsky_s_mansion_sells_for_94m_solidifying_williams_and_williams_in_real_estate_history/prweb16694465.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Developer Bruce Makowsky’s Bel Air spec mansion is the 3rd highest sale of the year and a much needed shot in the arm to LA’s luxury real estate market.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/bruce_makowsky_s_mansion_sells_for_94m_solidifying_williams_and_williams_in_real_estate_history/prweb16694465.htm"" rel=""nofollow"">https://www.prweb.com/releases/bruce_makowsky_s_mansion_sells_for_94m_solidifying_williams_and_williams_in_real_estate_history/prweb16694465.htm</a></p>",https://www.prweb.com/releases/bruce_makowsky_s_mansion_sells_for_94m_solidifying_williams_and_williams_in_real_estate_history/prweb16694465.htm,False,prweb
31,What Makes Our Life a Success? Picked for Jewish Book Review Series,text/plain,,http://www.prweb.com/rss2/daily.xml,What Makes Our Life a Success? Picked for Jewish Book Review Series,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/03/16694807/tN_94632_NewsImage_vcsPRAsset_3005151_94632_9f2f9454-3774-4d34-9d6a-d779e7158e10_0.png,https://www.prweb.com/releases/what_makes_our_life_a_success_picked_for_jewish_book_review_series/prweb16694807.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Faith-based, autobiographical and instructive self-help book authored by Mordechai and Esther Fintz has recently been picked for the Jewish Book Review Series hosted by MARJCC</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/what_makes_our_life_a_success_picked_for_jewish_book_review_series/prweb16694807.htm"" rel=""nofollow"">https://www.prweb.com/releases/what_makes_our_life_a_success_picked_for_jewish_book_review_series/prweb16694807.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Faith-based, autobiographical and instructive self-help book authored by Mordechai and Esther Fintz has recently been picked for the Jewish Book Review Series hosted by MARJCC</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/what_makes_our_life_a_success_picked_for_jewish_book_review_series/prweb16694807.htm"" rel=""nofollow"">https://www.prweb.com/releases/what_makes_our_life_a_success_picked_for_jewish_book_review_series/prweb16694807.htm</a></p>",https://www.prweb.com/releases/what_makes_our_life_a_success_picked_for_jewish_book_review_series/prweb16694807.htm,False,prweb
29,Everyware® Offers Pay-by-Text Solution For Healthcare,text/plain,,http://www.prweb.com/rss2/daily.xml,Everyware® Offers Pay-by-Text Solution For Healthcare,enclosure,text/html,//ww1.prweb.com/prfiles/2019/08/25/16694889/tN_67174_Everyware_CMYK_HighRezv2.png,https://www.prweb.com/releases/everyware_offers_pay_by_text_solution_for_healthcare/prweb16694889.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Helping healthcare organizations collect payments fast while improving patient experience.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/everyware_offers_pay_by_text_solution_for_healthcare/prweb16694889.htm"" rel=""nofollow"">https://www.prweb.com/releases/everyware_offers_pay_by_text_solution_for_healthcare/prweb16694889.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Helping healthcare organizations collect payments fast while improving patient experience.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/everyware_offers_pay_by_text_solution_for_healthcare/prweb16694889.htm"" rel=""nofollow"">https://www.prweb.com/releases/everyware_offers_pay_by_text_solution_for_healthcare/prweb16694889.htm</a></p>",https://www.prweb.com/releases/everyware_offers_pay_by_text_solution_for_healthcare/prweb16694889.htm,False,prweb
28,"DXL Men's Big + Tall Brings Its Style and Fit Expertise to Columbus, Ohio, With a New Store Opening",text/plain,,http://www.prweb.com/rss2/daily.xml,"DXL Men's Big + Tall Brings Its Style and Fit Expertise to Columbus, Ohio, With a New Store Opening",enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16695718/tN_86170_NewsImage_vcsPRAsset_3248937_86170_0879f185-d776-43c8-a1cd-be88574dacde_0.png,https://www.prweb.com/releases/dxl_men_s_big_tall_brings_its_style_and_fit_expertise_to_columbus_ohio_with_a_new_store_opening/prweb16695718.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>One-Stop Shop Offers Big + Tall Men&#39;s Clothing With a Fit that Feels Custom-Made</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/dxl_men_s_big_tall_brings_its_style_and_fit_expertise_to_columbus_ohio_with_a_new_store_opening/prweb16695718.htm"" rel=""nofollow"">https://www.prweb.com/releases/dxl_men_s_big_tall_brings_its_style_and_fit_expertise_to_columbus_ohio_with_a_new_store_opening/prweb16695718.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>One-Stop Shop Offers Big + Tall Men&#39;s Clothing With a Fit that Feels Custom-Made</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/dxl_men_s_big_tall_brings_its_style_and_fit_expertise_to_columbus_ohio_with_a_new_store_opening/prweb16695718.htm"" rel=""nofollow"">https://www.prweb.com/releases/dxl_men_s_big_tall_brings_its_style_and_fit_expertise_to_columbus_ohio_with_a_new_store_opening/prweb16695718.htm</a></p>",https://www.prweb.com/releases/dxl_men_s_big_tall_brings_its_style_and_fit_expertise_to_columbus_ohio_with_a_new_store_opening/prweb16695718.htm,False,prweb
27,Magner and KICTeam Introduce New Specially Designed Cleaning Solution,text/plain,,http://www.prweb.com/rss2/daily.xml,Magner and KICTeam Introduce New Specially Designed Cleaning Solution,alternate,text/html,https://www.prweb.com/releases/magner_and_kicteam_introduce_new_specially_designed_cleaning_solution/prweb16696198.htm,https://www.prweb.com/releases/magner_and_kicteam_introduce_new_specially_designed_cleaning_solution/prweb16696198.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Magner partners with KICTeam to deliver exceptional currency counter and coin handling performance.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/magner_and_kicteam_introduce_new_specially_designed_cleaning_solution/prweb16696198.htm"" rel=""nofollow"">https://www.prweb.com/releases/magner_and_kicteam_introduce_new_specially_designed_cleaning_solution/prweb16696198.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Magner partners with KICTeam to deliver exceptional currency counter and coin handling performance.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/magner_and_kicteam_introduce_new_specially_designed_cleaning_solution/prweb16696198.htm"" rel=""nofollow"">https://www.prweb.com/releases/magner_and_kicteam_introduce_new_specially_designed_cleaning_solution/prweb16696198.htm</a></p>",https://www.prweb.com/releases/magner_and_kicteam_introduce_new_specially_designed_cleaning_solution/prweb16696198.htm,False,prweb
26,AIM to Participate at SMTA Space Coast Expo & Tech Forum,text/plain,,http://www.prweb.com/rss2/daily.xml,AIM to Participate at SMTA Space Coast Expo & Tech Forum,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16696887/tN_155633_SMTA%20Space%20Coast%20Logo.png,https://www.prweb.com/releases/aim_to_participate_at_smta_space_coast_expo_tech_forum/prweb16696887.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>AIM Solder, a leading global manufacturer of solder assembly materials for the electronics industry, is pleased to announce their participation in the upcoming SMTA Space Coast Expo and Tech Forum taking place on November 20, 2019 at the Melbourne Auditorium in Melbourne, FL. AIM Solder will highlight its REL electronic solders and its new RX18 and CX18 cored solder wire.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/aim_to_participate_at_smta_space_coast_expo_tech_forum/prweb16696887.htm"" rel=""nofollow"">https://www.prweb.com/releases/aim_to_participate_at_smta_space_coast_expo_tech_forum/prweb16696887.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>AIM Solder, a leading global manufacturer of solder assembly materials for the electronics industry, is pleased to announce their participation in the upcoming SMTA Space Coast Expo and Tech Forum taking place on November 20, 2019 at the Melbourne Auditorium in Melbourne, FL. AIM Solder will highlight its REL electronic solders and its new RX18 and CX18 cored solder wire.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/aim_to_participate_at_smta_space_coast_expo_tech_forum/prweb16696887.htm"" rel=""nofollow"">https://www.prweb.com/releases/aim_to_participate_at_smta_space_coast_expo_tech_forum/prweb16696887.htm</a></p>",https://www.prweb.com/releases/aim_to_participate_at_smta_space_coast_expo_tech_forum/prweb16696887.htm,False,prweb
25,Critical Environments Group Receives US Business News Technology Elite Award,text/plain,,http://www.prweb.com/rss2/daily.xml,Critical Environments Group Receives US Business News Technology Elite Award,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16697011/tN_67476_NewsImage_vcsPRAsset_3505835_67476_d710c1b7-11dd-4ee4-91c6-d1c918435c0d_0.png,https://www.prweb.com/releases/critical_environments_group_receives_us_business_news_technology_elite_award/prweb16697011.htm,"Tue, 05 Nov 2019 11:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=11, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Business magazine names CEG as Best Critical Infrastructure Consultancy in the Eastern United States.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/critical_environments_group_receives_us_business_news_technology_elite_award/prweb16697011.htm"" rel=""nofollow"">https://www.prweb.com/releases/critical_environments_group_receives_us_business_news_technology_elite_award/prweb16697011.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Business magazine names CEG as Best Critical Infrastructure Consultancy in the Eastern United States.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/critical_environments_group_receives_us_business_news_technology_elite_award/prweb16697011.htm"" rel=""nofollow"">https://www.prweb.com/releases/critical_environments_group_receives_us_business_news_technology_elite_award/prweb16697011.htm</a></p>",https://www.prweb.com/releases/critical_environments_group_receives_us_business_news_technology_elite_award/prweb16697011.htm,False,prweb
