Entity ID,Symbol,Name,GICS Sector Name,GICS Ind Name,Country of Primary Listing,Sec Type ,Det Sec Type Desc,Net Sales 1999,Net Sales 2000,Net Sales 2001,Net Sales 2002,Net Sales 2003,Net Sales 2004,Net Sales 2005,Net Sales 2006,Net Sales 2007,Net Sales 2008,Net Sales 2009,Net Sales 2010,Net Sales 2011,Net Sales 2012,Net Sales 2013,Net Sales 2014,Net Sales 2015,Net Sales 2016,Net Sales 2017,Net Sales 2018
000YMS-E,WMT,Walmart Inc.,Consumer Staples,Food & Staples Retailing,UNITED STATES,SHARE,Equity,166809,193295,219812,231577,258681,288132,312101,348650,378611,405607,203653.7027,192098.3319,204659.8883,228245.6025,254622.9044,276807.5433,196276.0425,485144,292535.134,514405
066L2H-E,B03MM4,Royal Dutch Shell Plc Class B,Energy,Oil Gas & Consumable Fuels,UNITED KINGDOM,SHARE,Equity,105366,149146,135211,179431,201728,266386,306731,318845,355782,458361,186618.4604,208593.8515,236677.2524,222669.7453,233025.6183,216171.485,145263.1497,233591,281323.999,385289
001LLD-E,79805,BP p.l.c.,Energy,Oil Gas & Consumable Fuels,UNITED KINGDOM,SHARE,Equity,83543.23788,148062,174218,178721,232571,199876,249465,265906,284365,361143,181806.0263,137005.2297,135839.8873,132134.7426,150662.6671,116874.887,95904.84248,183008,140137.7821,298756
002Q0G-E,XOM,Exxon Mobil Corporation,Energy,Oil Gas & Consumable Fuels,UNITED STATES,SHARE,Equity,182529,206083,187510,178909,213199,263989,328213,335086,358600,425071,322668.1327,368711.7911,406272.321,394611.131,442093.6197,391482.1754,324501.0796,200628,354391.5397,279202
003K89-E,7203,Toyota Motor Corp.,Consumer Discretionary,Automobiles,JAPAN,SHARE,Equity,115656.3606,121396.1696,120890.1564,131701.9731,153050.895,172589.7953,185855.7563,204840.8821,230023.7965,204114.2802,143705.1437,136891.0878,114948.1863,159708.9089,210609.8056,215465.4178,207780.2577,255077.8579,208930.3246,272550.8616
000C7F-E,AAPL,Apple Inc.,Information Technology,Technology Hardware Storage & Peripherals,UNITED STATES,SHARE,Equity,6134,7983,5363,5742,6207,8279,13931,19315,24006,32479,190786.0071,295886.5543,376410.6614,499613.999,500739.0014,647361.0058,583612.6941,214226,860882.4909,265809
000CS1-E,BRK.B,Berkshire Hathaway Inc. Class B,Financials,Diversified Financial Services,UNITED STATES,SHARE,Equity,24028,33976,37668,42353,63859,74382,82565,97857,118334,116420,153611.4499,198288.271,189183.7587,221852.5699,292405.3878,370604.3339,325249.1131,222935,489389.1299,247837
001MF1-E,AMZN,"Amazon.com, Inc.",Consumer Discretionary,Internet & Direct Marketing Retail,UNITED STATES,SHARE,Equity,1639.839,2761.983,3122.433,3932.936,5263.699,6921.124,8490,10711,14835,19166,58244.87524,80790.66101,78717.9198,113633.8259,182539.7493,143693.9186,316831.5506,135987,563534.8446,232887
000Y3J-E,UNH,UnitedHealth Group Incorporated,Health Care,Health Care Providers & Services,UNITED STATES,SHARE,Equity,19562,21122,23454,25020,28823,37218,46433,71546,75437,81307,35418.27665,39718.76143,54026.19805,55405.781,75808.88014,97025.27025,112123.6211,184885,213640.521,226247
000VPP-E,677172,"Samsung Electronics Co., Ltd.",Information Technology,Technology Hardware Storage & Peripherals,SOUTH KOREA,SHARE,Equity,26993.60841,38504.55279,35968.69751,47629.95391,54403.05361,71576.23419,78722.57936,89479.83731,106019.261,110167.8355,111363.2485,136228.7053,148500.5121,227582.0707,213412.5659,199417.8597,179530.4417,173994.5976,342895.3855,221506.0634
000PM1-E,MCK,McKesson Corporation,Health Care,Health Care Providers & Services,UNITED STATES,SHARE,Equity,36712.5,42010,NA,57120.8,69506.1,80120,86983,92977,101703,106632,16748.93761,17810.57349,19131.65877,22886.43753,37075.35376,48134.06677,45384.39581,198533,32511.51951,214319
0025F0-E,552902,Daimler AG,Consumer Discretionary,Automobiles,GERMANY,SHARE,Equity,159603.3308,149545.2542,136757.5891,141053.0837,154194.0522,176484.6585,186041.3166,124543.5012,136058.9959,144082.8774,56682.66306,72524.20532,46952.59114,58157.73238,92716.47955,89285.58969,90160.72494,169536.8955,90953.99473,197445.2781
001HHK-E,CVS,CVS Health Corporation,Health Care,Health Care Providers & Services,UNITED STATES,SHARE,Equity,18098.3,20087.5,22241.4,24181.5,26588,30594.3,37006.2,43813.8,76329.5,87471.9,45433.58773,47245.47832,53080.47001,60277.60432,85186.48044,110408.1494,108262.381,177526,73441.92032,194578
002KX6-E,B15C55,Total SA,Energy,Oil Gas & Consumable Fuels,FRANCE,SHARE,Equity,44882.81686,105499.6532,94215.69385,96692.69374,118272.2865,124830.9151,145400.0534,166551.2954,187286.9551,234601.2635,151548.4807,124918.3978,120938.8516,121681.0725,145836.758,122368.9898,109312.5643,127925,139683.4621,184106
05H5DH-E,643856,"Hon Hai Precision Industry Co., Ltd.",Information Technology,Electronic Equipment Instruments & Components,TAIWAN,SHARE,Equity,1605.86902,3132.857918,4552.536073,7458.151455,11711.75412,16239.00399,29492.29992,40597.95986,51829.96708,61855.57572,40634.93266,38934.60724,29265.37564,36234.32596,35284.76251,41147.41183,38468.46998,135151.1522,55436.12577,175556.2018
069J8N-E,T,AT&T Inc.,Communication Services,Diversified Telecommunication Services,UNITED STATES,SHARE,Equity,49489,51476,45908,43138,40843,40787,43862,63055,118928,124028,165405.0341,173635.795,179202.2386,191472.7948,183746.1592,174231.3308,212137.6491,163786,238684.3266,170805
0GPW6G-E,BYSLCX,EXOR N.V.,Financials,Diversified Financial Services,ITALY,SHARE,Equity,57684.28414,58304.45143,56522.43856,57326.30125,59258.19926,6569.45969,6743.525717,1868.993503,NA,3922.921877,4063.383672,7450.816107,4790.477388,5895.119064,9808.943937,10142.23314,11258.21208,154942.8353,14788.04547,169051.0611
003894-E,ABC,AmerisourceBergen Corporation,Health Care,Health Care Providers & Services,UNITED STATES,SHARE,Equity,9807.363,11645.021,16191.353,45235,49657,53120.791,54577.321,61203.145,66074.312,70189.733,7427.134309,9394.156804,9607.775334,10167.85366,16279.78771,19717.27164,21326.19779,146849.686,20024.28924,167939.635
000KN2-E,F,Ford Motor Company,Consumer Discretionary,Automobiles,UNITED STATES,SHARE,Equity,162558,170064,162412,162586,164196,171652,176896,160065,172654,146371,33072.49023,58308.36519,40890.66985,49375.88953,60864.94715,59656.94189,55920.0837,151800,49615.89898,160338
000DP6-E,CVX,Chevron Corporation,Energy,Oil Gas & Consumable Fuels,UNITED STATES,SHARE,Equity,31538,47319,97863,91685,112937,142897,193641,204892,214091,264958,154462.5647,183634.053,211893.9016,211649.5554,240223.5432,212067.7593,169308.0457,110484,237782.6386,158767
05FMFC-E,8058,Mitsubishi Corporation,Industrials,Trading Companies & Distributors,JAPAN,SHARE,Equity,117717.7361,126749.08,105998.8242,12066.59999,30894.88682,38570.26484,42644.82617,43510.13195,52767.93442,61110.3514,41998.86499,45986.85444,33418.2654,31496.25935,31731.32549,30030.35623,26806.39896,59339.81694,43940.60325,145216.7442
003JW8-E,7267,"Honda Motor Co., Ltd.",Consumer Discretionary,Automobiles,JAPAN,SHARE,Equity,54766.59012,58451.9873,58918.892,65394.49248,72235.36121,80474.23439,87534.63209,94834.26207,105021.5771,99536.29087,61295.6244,71804.97232,55279.87919,65887.26964,74625.23201,53272.42131,58877.63758,129278.0677,62101.52369,143276.6509
000F9X-E,COST,Costco Wholesale Corporation,Consumer Staples,Food & Staples Retailing,UNITED STATES,SHARE,Equity,27456.031,32164.296,34797.037,38762,42546,48106.992,52952.226,60151.227,64400.155,72483.02,25995.33327,31521.46941,36238.28295,43010.34239,52335.70916,62441.44169,71023.9868,118719,81726.40426,141576
001VPR-E,708842,AXA SA,Financials,Insurance,FRANCE,SHARE,Equity,86069.91503,91205.80717,73885.40028,75695.46133,92228.01745,98796.57373,106563.6056,115680.5307,153139.0887,164812.4687,54341.38033,38751.06996,30737.28275,42035.40826,67262.20417,56749.59406,66450.66263,131993.6673,72031.52866,138148.696
0FPWZZ-E,GOOGL,Alphabet Inc. Class A,Communication Services,Interactive Media & Services,UNITED STATES,SHARE,Equity,NA,NA,86.426,439.508,1465.934,3189.223,6138.56,10604.917,16593.986,21795.55,196633.6337,189652.3596,208848.2342,231659.2256,373453.85,358006.5164,527982.1914,89733,729583.4507,136958
000DCC-E,CAH,"Cardinal Health, Inc.",Health Care,Health Care Providers & Services,UNITED STATES,SHARE,Equity,25033.6,29870.6,47947.6,51135.7,56737,65053.5,74271.6,79664.2,86852,91091.4,11693.3516,13368.65775,14030.99936,13992.05877,22814.07685,26718.56382,29368.13165,121545,19275.78746,136808
