,Company,HQ,Address**,City,ST,ZIP,County,Phone,Website,NAICS Code,Industry,Function,Source,St. Louis Employees,year
0,BJC HealthCare,St. Louis MSA,4901 Forest Park Avenue,St. Louis,MO,63108,City of St. Louis,(314) 286-2000,www.bjc.org,622110,Health Care & Social Assistance,Health Care System,6,24182,2016
1,Wal-Mart Stores Inc.,"Bentonville, AR",3270 Telegraph Rd.,St. Louis,MO,63125,St. Louis County,(314) 845-8544,www.walmart.com,452990,Retail Trade,General Merchandise,6,21721,2016
2,"Boeing Defense, Space & Security",St. Louis MSA,100 Airport Way,St. Louis,MO,63043,St. Louis County,(314) 232-0232,www.boeing.com/bds,336411,Manufacturing,Aerospace Manufacturing,6,15000,2016
3,Washington University in St. Louis,St. Louis MSA,One Brookings Drive,St. Louis,MO,63130,St. Louis County,(800) 638-0700,www.wustl.edu,611310,Educational Services,Research University,6,14451,2016
4,SSM Health Care,St. Louis MSA,10101 Woodfield Ln.,St. Louis,MO,63132,St. Louis County,(314) 994-7800,www.ssmhc.com,622110,Health Care & Social Assistance,Health Care System,6,13301,2016
5,Scott Air Force Base ,St. Louis MSA,101 Heritage,Scott Air Force Base,IL,62225,St. Clair County,(618) 256-5108,public.scott.amc.af.mil,998110,Public Administration,U.S. Air Force Base,6,13000,2016
6,Mercy Health   ,St. Louis MSA,14528 S. Outer Forty Dr.,Chesterfield,MO,63017,St. Louis County,(314) 628-6100,mercy.net,622110,Health Care & Social Assistance,Hospital System,6,12547,2016
7,U.S. Postal Service,"Washington, D.C.",1720 Market St.,St. Louis,MO,63103,City of St. Louis,(800) ASK-USPS,www.usps.gov,49110,Public Administration,Postal Delivery,7,11693,2016
8,Archdiocese of St. Louis,St. Louis MSA,20 Archbishop May Dr.,St. Louis,MO,63119,City of St. Louis,(314) 792-7000,www.archstl.org,813110,Educational Services,Religious Organization,6,11000,2016
9,Schnuck Markets Inc. ,St. Louis MSA,11420 Lackland Rd.,St. Louis,MO,63146,St. Louis County,(314) 994-9900,www.schnucks.com,445110,Retail Trade,Grocery Chain,6,10801,2016
10,AT&T Communications Inc.,"Dallas, TX",909 Chestnut,St. Louis,MO,63101,City of St. Louis,(314) 235-9800,www.att.com,517110,Information,"Telephone, Cable and Internet",6,9800,2016
11,McDonald’s,"Oak Brook, IL","14567 N. Outer 40 Dr., Suite 500",Chesterfield,MO,63017,St. Louis County,(636) 537-5601,www.mcdonalds.com,722211,Accommodation & Food Services,Fast Food Chain,6,7550,2016
12,City of Saint Louis,St. Louis MSA,"City Hall, 1200 Market St.",St. Louis,MO,63103,City of St. Louis,(314) 622-4800,www.stlouis.missouri.org,921110,Public Administration,City Government,6,6828,2016
13,Enterprise Rent-A-Car (Enterprise Holdings),St. Louis MSA,600 Corporate Park Dr.,Clayton,MO,63105,St. Louis County,(314) 512-5000,www.enterprise.com,532111,Real Estate & Rental & Leasing,Auto Rental,6,6800,2016
14,Saint Louis University,St. Louis MSA,221 N. Grand Blvd.,St. Louis,MO,63103,City of St. Louis,(314) 977-2222,www.slu.edu,611310,Educational Services,Research University,6,6692,2016
15,Express Scripts Inc. ,St. Louis MSA,One Express Way,St. Louis,MO,63121,St. Louis County,(314) 996-0900,www.expressscripts.com,424210,Wholesale Trade,Pharmaceutical Benefits Management and Distribution,6,6466,2016
16,Special School District of St. Louis County,St. Louis MSA,12110 Clayton Rd.,Town & Country,MO,63131,St. Louis County,(314) 989-8100,www.ssd.k12.mo.us,611110,Educational Services,Public School System,6,5823,2016
17,Imo's Pizza ,St. Louis MSA,800 N. 17th St.,St. Louis,MO,63103,St. Louis County,(314) 822-7227,www.imospizza.com,722211,Accommodation & Food Services,Pizza chain restaurants,6,5475,2016
18,Monsanto Co. ,St. Louis MSA,800 N. Lindbergh Blvd.,St. Louis,MO,63167,St. Louis County,(314) 694-1000,www.monsanto.com,,Manufacturing,Biotech - Agricultural Seed and Chemicals,"6,7",5460,2016
19,Wells Fargo Advisors,St. Louis MSA,One North Jefferson,St. Louis,MO,63103,City of St. Louis,(314) 955-3000,www.wellsfargoadvisors.com,523110,Finance & Insurance,Investment Brokerage,6,5310,2016
20,Edward Jones ,St. Louis MSA,12555 Manchester Rd.,Des Peres,MO,63131,St. Louis County,(314) 515-2000,www.edwardjones.com,523120,Finance & Insurance,Investment Brokerage,6,5281,2016
21,Tenet Healthsystem Medical Inc. ,"Dallas, TX",7733 Forsyth Blvd.,St. Louis,MO,63105,City of St. Louis,(314) 889-7900,www.tenethealthcare.com,622110,Health Care & Social Assistance,Hospital System,8,5125,2016
22,Walgreens,"Springfield, IL",13897 Corporate Woods Trail,Bridgeton,MO,63044,St. Louis County,(314) 931-6448,www.wallgreens.com,4461,Retail Trade,Drug Stores,7,4740,2016
23,Target Corp,"Minneapolis, MN",4250 Rusty Rd.,St. Louis,MO,63128-1973,St. Louis County,(314) 892-6336,www.target.com,452112,Retail Trade,Dept Stores Discount,7,4675,2016
24,Ameren Corporation ,St. Louis MSA,1901 Chouteau Avenue,St. Louis,MO,63103,City of St. Louis,(314) 342-1000,www.ameren.com,2211,Utilities,Electric and Gas Utility,6,4453,2016
25,St. Louis County Government,St. Louis MSA,41 South Central Ave.,Clayton,MO,63105,St. Louis County,(314) 615-5500,www.stlouisco.com,921110,Public Administration,County Government,6,4384,2016
26,Gateway Region YMCA,St. Louis MSA,326 S. 21st St. 4th Fl.,St. Louis,MO,63103,City of St. Louis,(314) 436-1177,http://www.gwrymca.org/,,"Arts, Entertainment & Recreation",Health club,6,4300,2016
