symbol,name,sector,price,price_chg,price__chg,vol_rate,avg_dly__vol_000,mkt_val_mil_usd,pe_ratio,company_description,industry_sector,industry_group,isin,major_industry,headquarters,exchange_primary_listing,exchange,trading_country
APC.DE,Apple (Fra),Technology,410,0,0,-100,1765,497751,14,"APPLE INC. (APPLE) DESIGNS, MANUFACTURES AND MARKETS MOBILE COMMUNICATION AND MEDIA DEVICES, PERSONAL COMPUTERS, AND PORTABLE DIGITAL MUSIC PLAYERS, AND SELLS A VARIETY OF RELATED SOFTWARE, SERVICES, PERIPHERALS, NETWORKING SOLUTIONS, AND THIRD-PARTY DIGITAL CONTENT AND APPLICATIONS. THE COMPANY'S PRODUCTS AND SERVICES INCLUDE IPHONE, IPAD, MAC, IPOD, APPLE TV, A PORTFOLIO OF CONSUMER AND PROFESSIONAL SOFTWARE APPLICATIONS, THE IOS AND OS X OPERATING SYSTEMS, ICLOUD, AND A VARIETY OF ACCESSORY, SERVICE AND SUPPORT OFFERINGS. IN MARCH 2013, THE COMPANY ACQUIRED A SILICON VALLEY STARTUP, WIFISLAM, WHICH MAKES MAPPING APPLICATIONS FOR SMART PHONES. EFFECTIVE JULY 19, 2013, APPLE ACQUIRED LOCATIONARY INC. EFFECTIVE JULY 20, 2013, APPLE ACQUIRED HOPSTOP.COM INC. EFFECTIVE AUGUST 28, 2013, APPLE ACQUIRED ALGOTRIM AB, A MALMO-BASED DEVELOPER OF PREPACKAGED SOFTWARE. IN NOVEMBER 2013, APPLE BOUGHT PRIMESE",COMPUTER,Computer-Hardware/Perip,US0378331005,,,"No (NASDAQ, AAPL)",FRANKFURT,GERMANY
APCX.DE,Apple (Xet),Technology,408.5,-2,-0.487210719,-38.01154076,6159,495930,14,"APPLE INC. (APPLE) DESIGNS, MANUFACTURES AND MARKETS MOBILE COMMUNICATION AND MEDIA DEVICES, PERSONAL COMPUTERS, AND PORTABLE DIGITAL MUSIC PLAYERS, AND SELLS A VARIETY OF RELATED SOFTWARE, SERVICES, PERIPHERALS, NETWORKING SOLUTIONS, AND THIRD-PARTY DIGITAL CONTENT AND APPLICATIONS. THE COMPANY'S PRODUCTS AND SERVICES INCLUDE IPHONE, IPAD, MAC, IPOD, APPLE TV, A PORTFOLIO OF CONSUMER AND PROFESSIONAL SOFTWARE APPLICATIONS, THE IOS AND OS X OPERATING SYSTEMS, ICLOUD, AND A VARIETY OF ACCESSORY, SERVICE AND SUPPORT OFFERINGS. IN MARCH 2013, THE COMPANY ACQUIRED A SILICON VALLEY STARTUP, WIFISLAM, WHICH MAKES MAPPING APPLICATIONS FOR SMART PHONES. EFFECTIVE JULY 19, 2013, APPLE ACQUIRED LOCATIONARY INC. EFFECTIVE JULY 20, 2013, APPLE ACQUIRED HOPSTOP.COM INC. EFFECTIVE AUGUST 28, 2013, APPLE ACQUIRED ALGOTRIM AB, A MALMO-BASED DEVELOPER OF PREPACKAGED SOFTWARE. IN NOVEMBER 2013, APPLE BOUGHT PRIMESE",COMPUTER,Computer-Hardware/Perip,US0378331005,,,"No (NASDAQ, AAPL)",XETRA,GERMANY
AAPL,Apple Inc,Technology,554.25,-3.11,-0.557987,-25.36871539,6099413,494697,14,"MANUFACTURES PERSONAL COMPUTERS, MOBILE COMMUNICATION DEVICE S AND PORTABLE DIGITAL MUSIC PLAYERS. ALSO OFFERS A VARIETY OF SOFTWARE, SERVICES, PERIPHERALS AND NETWORKING PRODUCTS. 2012-13 REVENUES BY PRODUCT IN %: IPHONE 53; IPAD 19; MAC COMPUTERS 13; ITUNES, SOFTWARE AND SERVICES 9; ACCESSORIES 3; AND IPOD 3. REVENUES BY AREA IN %: AMERICAS 37; EUROPE 22; GREATER CHINA 15; JAPAN 8; REST OF ASIA PACIFIC 7; AND RETAI L 11.",COMPUTER,Computer-Hardware/Perip,US0378331005,Computer Data Storage,"Cupertino, CA",Yes,NASDAQ,UNITED STATES
XONA.DE,Exxon Mobil (Fra),Energy,73.2,0,0,-100,322,435010,13,"EXXON MOBIL CORPORATION IS A MANUFACTURER AND MARKETER OF COMMODITY PETROCHEMICALS, INCLUDING OLEFINS, AROMATICS, POLYETHYLENE AND POLYPROPYLENE PLASTICS AND A RANGE OF SPECIALTY PRODUCTS. THE COMPANY HAS A NUMBER OF DIVISIONS AND AFFILIATES WITH NAMES THAT INCLUDE EXXONMOBIL, EXXON, ESSO OR MOBIL. DIVISIONS AND AFFILIATED COMPANIES OF THE COMPANY OPERATE OR MARKET PRODUCTS IN THE UNITED STATES AND OTHER COUNTRIES OF THE WORLD. THEIR PRINCIPAL BUSINESS IS ENERGY, INVOLVING EXPLORATION FOR, AND PRODUCTION OF, CRUDE OIL AND NATURAL GAS, MANUFACTURE OF PETROLEUM PRODUCTS AND TRANSPORTATION AND SALE OF CRUDE OIL, NATURAL GAS AND PETROLEUM PRODUCTS. IN JANUARY 2012, APACHE CORPORATION ACQUIRED ITS MOBIL NORTH SEA LIMITED ASSETS, INCLUDING THE BERYL FIELD AND RELATED PROPERTIES. IN APRIL 2013, BNK PETROLEUM (US) INC. SOLD TISHOMINGO FIELD, OKLAHOMA ASSETS OTHER THAN THE CANEY AND UPPER SYCAMORE FORMATIO",ENERGY,Oil&Gas-Integrated,US30231G1022,,,"No (NYSE, XOM)",FRANKFURT,GERMANY
WBK,Westpac Banking Corp Adr,Financial,27.99,-0.37,-1.304654,-8.47711928,3780,432467,14,"AUSTRALIAN BANK PROVIDING BANKING/RELATED FINANCIAL SERVICES VIA 1,544 OFFICES IN AUSTRALIA/NEW ZEALAND/PACIFIC REGION. COMPANY IS ONE OF THE 4 MAJOR COMMERCIAL BANKS IN AUSTRALIA. 2012-13 LOAN PORTFOLIO IN %: RETAIL LENDING 68; PROPERTY 1- 2; FINANCE/INSURANCE 3; MANUFACTURING 2; AND OTHER 15. AS OF 09/13, TOTAL ASSETS STOOD AT AUD$697 BIL ($651 BIL), UP 3% IN AUSTRALIAN DOLLAR TERMS FROM 09/12.",BANKS,Banks-Foreign,US9612143019,Bank-Money Center,AUSTRALIA,Yes,NYSE,UNITED STATES
XOM,Exxon Mobil Corp,Energy,98.94,0.16,0.161976,-22.55349231,1201688,432220,13,"ENGAGED IN THE EXPLORATION, PRODUCTION, TRANSPORTATION AND S ALE OF CRUDE OIL AND NATURAL GAS WORLDWIDE. ALSO MANUFACTURE S AND TRANSPORTS PETROLEUM PRODUCTS. AS OF 12/12, PROVED RES ERVES STOOD AT 7.15 BIL BBLS OF CRUDE OIL AND 74.09 TRIL CU FT OF NATURAL GAS. HELD 40.39 MIL GROSS (17.84 MIL NET) DEVE LOPED AND 105.34 MIL GROSS (59.95 MIL NET) UNDEVELOPED ACRES . 2012 REVENUES BY SEGMENT IN %: DOWNSTREAM 83; UPSTREAM 9; AND CHEMICAL 8. INTL: 67%.",ENERGY,Oil&Gas-Integrated,US30231G1022,Oil&Gas-Integrated,"Irving, TX",Yes,NYSE,UNITED STATES
XOAX.DE,Exxon Mobil (Xet),Energy,72.32,-0.39,-0.53637739,-63.12879058,405,429768,13,"EXXON MOBIL CORPORATION IS A MANUFACTURER AND MARKETER OF COMMODITY PETROCHEMICALS, INCLUDING OLEFINS, AROMATICS, POLYETHYLENE AND POLYPROPYLENE PLASTICS AND A RANGE OF SPECIALTY PRODUCTS. THE COMPANY HAS A NUMBER OF DIVISIONS AND AFFILIATES WITH NAMES THAT INCLUDE EXXONMOBIL, EXXON, ESSO OR MOBIL. DIVISIONS AND AFFILIATED COMPANIES OF THE COMPANY OPERATE OR MARKET PRODUCTS IN THE UNITED STATES AND OTHER COUNTRIES OF THE WORLD. THEIR PRINCIPAL BUSINESS IS ENERGY, INVOLVING EXPLORATION FOR, AND PRODUCTION OF, CRUDE OIL AND NATURAL GAS, MANUFACTURE OF PETROLEUM PRODUCTS AND TRANSPORTATION AND SALE OF CRUDE OIL, NATURAL GAS AND PETROLEUM PRODUCTS. IN JANUARY 2012, APACHE CORPORATION ACQUIRED ITS MOBIL NORTH SEA LIMITED ASSETS, INCLUDING THE BERYL FIELD AND RELATED PROPERTIES. IN APRIL 2013, BNK PETROLEUM (US) INC. SOLD TISHOMINGO FIELD, OKLAHOMA ASSETS OTHER THAN THE CANEY AND UPPER SYCAMORE FORMATIO",ENERGY,Oil&Gas-Integrated,US30231G1022,,,"No (NYSE, XOM)",XETRA,GERMANY
KO.PE,Coca Cola (Lim),Consumer Staple,90.72,0,0,,0,400612,47,"THE COCA-COLA COMPANY IS A BEVERAGE COMPANY. THE COMPANY OWNS OR LICENSES AND MARKETS MORE THAN 500 NONALCOHOLIC BEVERAGE BRANDS, PRIMARILY SPARKLING BEVERAGES BUT ALSO A VARIETY OF STILL BEVERAGES, SUCH AS WATERS, ENHANCED WATERS, JUICES AND JUICE DRINKS, READY-TO-DRINK TEAS AND COFFEES, AND ENERGY AND SPORTS DRINKS. IT OWNS AND MARKETS A RANGE OF NONALCOHOLIC SPARKLING BEVERAGE BRANDS, WHICH INCLUDES COCA-COLA, DIET COKE, FANTA AND SPRITE. THE COMPANY'S SEGMENTS INCLUDE EURASIA AND AFRICA, EUROPE, LATIN AMERICA, NORTH AMERICA, PACIFIC, BOTTLING INVESTMENTS AND CORPORATE. IN JANUARY 2013, SACRAMENTO COCA-COLA BOTTLING COMPANY ANNOUNCED THAT IT HAD BEEN ACQUIRED BY THE COMPANY. EFFECTIVE FEBRUARY 22, 2013, COCA-COLA CO ACQUIRED INTEREST IN FRESH TRADING LTD. IN NOVEMBER 2013, COCA-COLA COMPANY AND ZICO BEVERAGES LLC ANNOUNCED THAT COCA-COLA HAS ACQUIRED THE OWNERSHIP INTEREST IN ZICO.",FOOD/BEV,Beverages-Non-Alcoholic,US1912161007,Beverage - Non-Alcoholic,,"No (NYSE, KO)",LIMA,PERU
GOOG,Google Inc,Technology,1156.22,7.6,0.661663,5.161209698,1838251,386278,27,"PROVIDES ONLINE SEARCH, INTERNET CONTENT SERVICES, AND WEB-B ASED AND DESKTOP SOFTWARE APPLICATIONS VIA GOOGLE.COM. INTER NET SERVICES INCLUDE E-MAIL, NEWS, STREAMING MULTIMEDIA CONT ENT, DRIVING DIRECTIONS AND ONLINE COMMUNITIES. ALSO OFFERS DOCUMENT AND SPREADSHEET SOFTWARE APPLICATIONS. 2012 REVENUE S BY SEGMENT IN %: GOOGLE WEBSITE ADS 62; NETWORK WEBSITE AD S 25; AND OTHER 13. REVENUES BY AREA IN %: U.S. 47; U.K. 10; AND REST OF THE WORLD 43.",INTERNET,Internet-Content,US38259P5089,Internet,"Mountain View, CA",Yes,NASDAQ,UNITED STATES
GG@X.DE,Google 'A' (Xet),Technology,849.35,4.2,0.496953262,19.00826446,1028,319639,31,"GOOGLE INC. (GOOGLE) IS A GLOBAL TECHNOLOGY COMPANY. THE COMPANY'S BUSINESS IS PRIMARILY FOCUSED AROUND KEY AREAS, SUCH AS SEARCH, ADVERTISING, OPERATING SYSTEMS AND PLATFORMS, ENTERPRISE AND HARDWARE PRODUCTS. THE COMPANY GENERATES REVENUE PRIMARILY BY DELIVERING ONLINE ADVERTISING. THE COMPANY ALSO GENERATES REVENUES FROM MOTOROLA BY SELLING HARDWARE PRODUCTS. THE COMPANY PROVIDES ITS PRODUCTS AND SERVICES IN MORE THAN 100 LANGUAGES AND IN MORE THAN 50 COUNTRIES, REGIONS, AND TERRITORIES. EFFECTIVE SEPTEMBER 16, 2013, GOOGLE INC ACQUIRED BUMP TECHNOLOGIES INC. EFFECTIVE OCTOBER 22, 2013, GOOGLE INC ACQUIRED FLEXYCORE, A DEVELOPER OF SOFTWARE. EFFECTIVE DECEMBER 6, 2013, GOOGLE INC ACQUIRED THE ENTIRE SHARE CAPITAL OF SCHAFT INC. EFFECTIVE DECEMBER 14, 2013, GOOGLE INC ACQUIRED BOSTON DYNAMICS INC.",INTERNET,Internet-Content,US38259P5089,,,"No (NASDAQ, GOOG)",XETRA,GERMANY
