Symbol,ISIN,Name,Company Description
AAPL,US0378331005,Apple Inc,"MANUFACTURES PERSONAL COMPUTERS, MOBILE COMMUNICATION DEVICE S AND PORTABLE DIGITAL MUSIC PLAYERS. ALSO OFFERS A VARIETY OF SOFTWARE, SERVICES, PERIPHERALS AND NETWORKING PRODUCTS. 2012-13 REVENUES BY PRODUCT IN %: IPHONE 53; IPAD 19; MAC COMPUTERS 13; ITUNES, SOFTWARE AND SERVICES 9; ACCESSORIES 3; AND IPOD 3. REVENUES BY AREA IN %: AMERICAS 37; EUROPE 22; GREATER CHINA 15; JAPAN 8; REST OF ASIA PACIFIC 7; AND RETAI L 11."
WBK,US9612143019,Westpac Banking Corp Adr,"AUSTRALIAN BANK PROVIDING BANKING/RELATED FINANCIAL SERVICES VIA 1,544 OFFICES IN AUSTRALIA/NEW ZEALAND/PACIFIC REGION. COMPANY IS ONE OF THE 4 MAJOR COMMERCIAL BANKS IN AUSTRALIA. 2012-13 LOAN PORTFOLIO IN %: RETAIL LENDING 68; PROPERTY 1- 2; FINANCE/INSURANCE 3; MANUFACTURING 2; AND OTHER 15. AS OF 09/13, TOTAL ASSETS STOOD AT AUD$697 BIL ($651 BIL), UP 3% IN AUSTRALIAN DOLLAR TERMS FROM 09/12."
XOM,US30231G1022,Exxon Mobil Corp,"ENGAGED IN THE EXPLORATION, PRODUCTION, TRANSPORTATION AND S ALE OF CRUDE OIL AND NATURAL GAS WORLDWIDE. ALSO MANUFACTURE S AND TRANSPORTS PETROLEUM PRODUCTS. AS OF 12/12, PROVED RES ERVES STOOD AT 7.15 BIL BBLS OF CRUDE OIL AND 74.09 TRIL CU FT OF NATURAL GAS. HELD 40.39 MIL GROSS (17.84 MIL NET) DEVE LOPED AND 105.34 MIL GROSS (59.95 MIL NET) UNDEVELOPED ACRES . 2012 REVENUES BY SEGMENT IN %: DOWNSTREAM 83; UPSTREAM 9; AND CHEMICAL 8. INTL: 67%."
GOOG,US38259P5089,Google Inc,"PROVIDES ONLINE SEARCH, INTERNET CONTENT SERVICES, AND WEB-B ASED AND DESKTOP SOFTWARE APPLICATIONS VIA GOOGLE.COM. INTER NET SERVICES INCLUDE E-MAIL, NEWS, STREAMING MULTIMEDIA CONT ENT, DRIVING DIRECTIONS AND ONLINE COMMUNITIES. ALSO OFFERS DOCUMENT AND SPREADSHEET SOFTWARE APPLICATIONS. 2012 REVENUE S BY SEGMENT IN %: GOOGLE WEBSITE ADS 62; NETWORK WEBSITE AD S 25; AND OTHER 13. REVENUES BY AREA IN %: U.S. 47; U.K. 10; AND REST OF THE WORLD 43."
MSFT,US5949181045,Microsoft Corp,"DEVELOPS OPERATING SYSTEMS, BUSINESS SOFTWARE, AND OTHER APP LICATIONS FOR SERVERS, PC'S AND INTELLIGENT DEVICES. ALSO DE VELOPS VIDEO GAME CONSOLES, MUSIC DEVICES AND PERIPHERALS. 2 012-13 REVENUES BY SEGMENT IN %: MICROSOFT BUSINESS DIVISION 32; SERVER AND TOOLS 26; WINDOWS DIVISION 24; ENTERTAINMENT AND DEVICES DIVISION 13; ONLINE SERVICES DIVISION 4; AND OTH ER 1. INTERNATIONAL REVENUES ACCOUNTED FOR 47%."
BRKB,US0846707026,Berkshire Hathaway Cl B,"ENGAGES IN INSURANCE, FOODSERVICE OPERATIONS, ENERGY DISTRIB UTION, MANUFACTURED FLOORING, FINANCE AND APPAREL AS WELL AS BUILDING PRODUCTS, PAINTS, FLIGHT TRAINING, HOME RETAIL PROD UCTS, TRANSPORTATION EQUIPMENT LEASING, AND OTHER MARKET SEGMENTS. 2012 REVENUES BY SEGMENT IN %: INSURANCE GROUP 25; M CLANE COMPANY 23; BURLINGTON NORTHERN SANTA FE 13; MIDAMERIC AN 7; MARMON 5; FINANCE AND FINANCIAL PRODUCTS 3; AND OTHER BUSINESSES 24."
BRKA,US0846701086,Berkshire Hathaway Cl A,"ENGAGES IN INSURANCE, FOODSERVICE OPERATIONS, ENERGY DISTRIB UTION, MANUFACTURED FLOORING, FINANCE AND APPAREL AS WELL AS BUILDING PRODUCTS, PAINTS, FLIGHT TRAINING, HOME RETAIL PROD UCTS, TRANSPORTATION EQUIPMENT LEASING, AND OTHER MARKET SEGMENTS. 2012 REVENUES BY SEGMENT IN %: INSURANCE GROUP 25; M CLANE COMPANY 23; BURLINGTON NORTHERN SANTA FE 13; MIDAMERIC AN 7; MARMON 5; FINANCE AND FINANCIAL PRODUCTS 3; AND OTHER BUSINESSES 24."
NESN.BE,BE0004605466,Nestle (Bru),
GE,US3696041033,General Electric Co,"MANUFACTURES TRANSPORTATION, ENERGY GENERATION, CONSUMER APP LIANCES, INDUSTRIAL AND MEDICAL EQUIPMENT AS WELL AS AVIATIO N, ENERGY AND OIL/GAS EQUIPMENT. ALSO PROVIDES FINANCIAL SER VICES. 2012 REVENUES BY SEGMENT IN %: CAPITAL 31; POWER & WATER 19; AVIATION 13; HEALTHCARE 12; OIL & GAS 10; HOME & BU SINESS SOLUTIONS 5; AND OTHER 10. REVENUES BY AREA IN %: U.S .48; EUROPE 19; PACIFIC BASIN 16; AMERICAS 9; AND MIDDLE EAS TAND AFRICA 8."
NSRGY,US6410694060,Nestle S A Adr Spon,"MANUFACTURES BEVERAGES, MILK PRODUCTS, ICE CREAM, CANDIES AN D OTHER FOOD ITEMS WORLDWIDE. BRANDS INCLUDE NESCAFE, NESTEA , COFFEE-MATE, CARNATION, DREYER'S, MAGGI, HOT POCKETS, LEAN CUISINE, PURINA, FRISKIES, GERBER AND KIT KAT. 2012 REVENUES BY SEGMENT IN %: BEVERAGES 30; MILK PRODUCTS AND ICE CREA M 19; PREPARED DISHES AND COOKING AIDS 16; PETCARE 12; CONFE CTIONARY 12; AND NUTRITION 11. NET REVENUES OUTSIDE OF EUROP E TOTALED 71%."
