,title,title_detail_type,title_detail_language,title_detail_base,title_detail_value,links_rel,links_type,links_href,link,published,published_parsed,summary,summary_detail_type,summary_detail_language,summary_detail_base,summary_detail_value,id,guidislink,source
5,"Ovation Fertility Promotes Matthew “Tex” VerMilyea, PhD, HCLD/CC, to Vice President of IVF Lab Operations",text/plain,,http://www.prweb.com/rss2/daily.xml,"Ovation Fertility Promotes Matthew “Tex” VerMilyea, PhD, HCLD/CC, to Vice President of IVF Lab Operations",enclosure,text/html,//ww1.prweb.com/prfiles/2019/10/29/16685398/tN_113232_NewsImage_vcsPRAsset_531220_113232_aef462b9-a9b4-4e04-9153-cdeafd6e8c8d_0.png,https://www.prweb.com/releases/ovation_fertility_promotes_matthew_tex_vermilyea_phd_hcld_cc_to_vice_president_of_ivf_lab_operations/prweb16685398.htm,"Tue, 05 Nov 2019 09:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=9, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Ovation&#174; Fertility has promoted Matthew “Tex” VerMilyea, PhD, HCLD/CC, to a newly created position of vice president of IVF lab operations. In this new senior management role, Dr. VerMilyea serves as a scientific resource and operational advocate for the nationwide network of Ovation IVF labs.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/ovation_fertility_promotes_matthew_tex_vermilyea_phd_hcld_cc_to_vice_president_of_ivf_lab_operations/prweb16685398.htm"" rel=""nofollow"">https://www.prweb.com/releases/ovation_fertility_promotes_matthew_tex_vermilyea_phd_hcld_cc_to_vice_president_of_ivf_lab_operations/prweb16685398.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Ovation&#174; Fertility has promoted Matthew “Tex” VerMilyea, PhD, HCLD/CC, to a newly created position of vice president of IVF lab operations. In this new senior management role, Dr. VerMilyea serves as a scientific resource and operational advocate for the nationwide network of Ovation IVF labs.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/ovation_fertility_promotes_matthew_tex_vermilyea_phd_hcld_cc_to_vice_president_of_ivf_lab_operations/prweb16685398.htm"" rel=""nofollow"">https://www.prweb.com/releases/ovation_fertility_promotes_matthew_tex_vermilyea_phd_hcld_cc_to_vice_president_of_ivf_lab_operations/prweb16685398.htm</a></p>",https://www.prweb.com/releases/ovation_fertility_promotes_matthew_tex_vermilyea_phd_hcld_cc_to_vice_president_of_ivf_lab_operations/prweb16685398.htm,False,prweb
6,Kolmac Outpatient Recovery Centers Opens New Frederick Addiction Treatment Center,text/plain,,http://www.prweb.com/rss2/daily.xml,Kolmac Outpatient Recovery Centers Opens New Frederick Addiction Treatment Center,enclosure,text/html,//ww1.prweb.com/prfiles/2019/10/29/16685283/tN_113229_NewsImage_vcsPRAsset_531220_113229_7a3bf413-0993-49cf-8a12-c2b94f8ee58a_0.png,https://www.prweb.com/releases/kolmac_outpatient_recovery_centers_opens_new_frederick_addiction_treatment_center/prweb16685283.htm,"Tue, 05 Nov 2019 09:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=9, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Kolmac Outpatient Recovery Centers will open a new location in Frederick. This Frederick addiction treatment center will offer an intensive outpatient (IOP) program and continuing care services.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/kolmac_outpatient_recovery_centers_opens_new_frederick_addiction_treatment_center/prweb16685283.htm"" rel=""nofollow"">https://www.prweb.com/releases/kolmac_outpatient_recovery_centers_opens_new_frederick_addiction_treatment_center/prweb16685283.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Kolmac Outpatient Recovery Centers will open a new location in Frederick. This Frederick addiction treatment center will offer an intensive outpatient (IOP) program and continuing care services.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/kolmac_outpatient_recovery_centers_opens_new_frederick_addiction_treatment_center/prweb16685283.htm"" rel=""nofollow"">https://www.prweb.com/releases/kolmac_outpatient_recovery_centers_opens_new_frederick_addiction_treatment_center/prweb16685283.htm</a></p>",https://www.prweb.com/releases/kolmac_outpatient_recovery_centers_opens_new_frederick_addiction_treatment_center/prweb16685283.htm,False,prweb
8,"StorageUnits.com Names Top Storage Facilities in Colorado Springs, CO for 2019",text/plain,,http://www.prweb.com/rss2/daily.xml,"StorageUnits.com Names Top Storage Facilities in Colorado Springs, CO for 2019",enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16698351/tN_136842_NewsImage_vcsPRAsset_3567524_136842_89eb01b9-23d8-4433-89a4-1d3bdba45b04_0.png,https://www.prweb.com/releases/storageunits_com_names_top_storage_facilities_in_colorado_springs_co_for_2019/prweb16698351.htm,"Tue, 05 Nov 2019 09:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=9, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Online guide provides access to best local storage options with a variety of services</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/storageunits_com_names_top_storage_facilities_in_colorado_springs_co_for_2019/prweb16698351.htm"" rel=""nofollow"">https://www.prweb.com/releases/storageunits_com_names_top_storage_facilities_in_colorado_springs_co_for_2019/prweb16698351.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Online guide provides access to best local storage options with a variety of services</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/storageunits_com_names_top_storage_facilities_in_colorado_springs_co_for_2019/prweb16698351.htm"" rel=""nofollow"">https://www.prweb.com/releases/storageunits_com_names_top_storage_facilities_in_colorado_springs_co_for_2019/prweb16698351.htm</a></p>",https://www.prweb.com/releases/storageunits_com_names_top_storage_facilities_in_colorado_springs_co_for_2019/prweb16698351.htm,False,prweb
9,Smith to Exhibit at IAITAM European ACE 2019 – Booth 9,text/plain,,http://www.prweb.com/rss2/daily.xml,Smith to Exhibit at IAITAM European ACE 2019 – Booth 9,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16698248/tN_129907_NewsImage_vcsPRAsset_923921_129907_c4c6c197-6e33-4633-b14a-8f068be6bbe8_0.png,https://www.prweb.com/releases/smith_to_exhibit_at_iaitam_european_ace_2019_booth_9/prweb16698248.htm,"Tue, 05 Nov 2019 09:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=9, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>Smith will highlight its global ITAD solutions at this key regional event</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/smith_to_exhibit_at_iaitam_european_ace_2019_booth_9/prweb16698248.htm"" rel=""nofollow"">https://www.prweb.com/releases/smith_to_exhibit_at_iaitam_european_ace_2019_booth_9/prweb16698248.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>Smith will highlight its global ITAD solutions at this key regional event</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/smith_to_exhibit_at_iaitam_european_ace_2019_booth_9/prweb16698248.htm"" rel=""nofollow"">https://www.prweb.com/releases/smith_to_exhibit_at_iaitam_european_ace_2019_booth_9/prweb16698248.htm</a></p>",https://www.prweb.com/releases/smith_to_exhibit_at_iaitam_european_ace_2019_booth_9/prweb16698248.htm,False,prweb
14,Architectural Jewel on Sardinia Shines Again – with Penetron Technology,text/plain,,http://www.prweb.com/rss2/daily.xml,Architectural Jewel on Sardinia Shines Again – with Penetron Technology,enclosure,text/html,//ww1.prweb.com/prfiles/2019/10/31/16690492/tN_107484_NewsImage_vcsPRAsset_2259785_107484_6e159ff5-6d3a-46af-a14a-b159ef49eca3_0.png,https://www.prweb.com/releases/architectural_jewel_on_sardinia_shines_again_with_penetron_technology/prweb16690492.htm,"Tue, 05 Nov 2019 09:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=9, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>On a hill above Portisco, Sardinia (on the Costa Esmeralda), a group of (partially underground) villas designed 40 years ago were given a new lease of life through a comprehensive renovation, completed in September 2019. Penetron crystalline technology enhanced the durability and lifespan of the existing concrete structures.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/architectural_jewel_on_sardinia_shines_again_with_penetron_technology/prweb16690492.htm"" rel=""nofollow"">https://www.prweb.com/releases/architectural_jewel_on_sardinia_shines_again_with_penetron_technology/prweb16690492.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>On a hill above Portisco, Sardinia (on the Costa Esmeralda), a group of (partially underground) villas designed 40 years ago were given a new lease of life through a comprehensive renovation, completed in September 2019. Penetron crystalline technology enhanced the durability and lifespan of the existing concrete structures.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/architectural_jewel_on_sardinia_shines_again_with_penetron_technology/prweb16690492.htm"" rel=""nofollow"">https://www.prweb.com/releases/architectural_jewel_on_sardinia_shines_again_with_penetron_technology/prweb16690492.htm</a></p>",https://www.prweb.com/releases/architectural_jewel_on_sardinia_shines_again_with_penetron_technology/prweb16690492.htm,False,prweb
13,"Get the beautiful look of stone without the hit to the budget or the environment, by EP Henry",text/plain,,http://www.prweb.com/rss2/daily.xml,"Get the beautiful look of stone without the hit to the budget or the environment, by EP Henry",alternate,text/html,https://www.prweb.com/releases/get_the_beautiful_look_of_stone_without_the_hit_to_the_budget_or_the_environment_by_ep_henry/prweb16694051.htm,https://www.prweb.com/releases/get_the_beautiful_look_of_stone_without_the_hit_to_the_budget_or_the_environment_by_ep_henry/prweb16694051.htm,"Tue, 05 Nov 2019 08:30:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=8, tm_min=30, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>The natural and ageless look of stone can be achieved without mining the earth or digging into bank accounts.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/get_the_beautiful_look_of_stone_without_the_hit_to_the_budget_or_the_environment_by_ep_henry/prweb16694051.htm"" rel=""nofollow"">https://www.prweb.com/releases/get_the_beautiful_look_of_stone_without_the_hit_to_the_budget_or_the_environment_by_ep_henry/prweb16694051.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>The natural and ageless look of stone can be achieved without mining the earth or digging into bank accounts.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/get_the_beautiful_look_of_stone_without_the_hit_to_the_budget_or_the_environment_by_ep_henry/prweb16694051.htm"" rel=""nofollow"">https://www.prweb.com/releases/get_the_beautiful_look_of_stone_without_the_hit_to_the_budget_or_the_environment_by_ep_henry/prweb16694051.htm</a></p>",https://www.prweb.com/releases/get_the_beautiful_look_of_stone_without_the_hit_to_the_budget_or_the_environment_by_ep_henry/prweb16694051.htm,False,prweb
0,Hilton Chicago Oak Brook Hills Resort’s Sarah Brown Receives Daily Herald Business Ledger’s Influential Women in Business Award,text/plain,,http://www.prweb.com/rss2/daily.xml,Hilton Chicago Oak Brook Hills Resort’s Sarah Brown Receives Daily Herald Business Ledger’s Influential Women in Business Award,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16697851/tN_126494_NewsImage_vcsPRAsset_978835_126494_05aa7916-8000-4b7a-844a-13f2d6c8820a_0.png,https://www.prweb.com/releases/hilton_chicago_oak_brook_hills_resorts_sarah_brown_receives_daily_herald_business_ledgers_influential_women_in_business_award/prweb16697851.htm,"Tue, 05 Nov 2019 08:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>The Daily Herald Business Ledger selected Director of Human Resources at Hilton Chicago Oak Brook Hills Resort &amp; Conference Center Sarah Brown to receive the publication&#39;s Influential Women in Business Award (IWIB).</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/hilton_chicago_oak_brook_hills_resorts_sarah_brown_receives_daily_herald_business_ledgers_influential_women_in_business_award/prweb16697851.htm"" rel=""nofollow"">https://www.prweb.com/releases/hilton_chicago_oak_brook_hills_resorts_sarah_brown_receives_daily_herald_business_ledgers_influential_women_in_business_award/prweb16697851.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>The Daily Herald Business Ledger selected Director of Human Resources at Hilton Chicago Oak Brook Hills Resort &amp; Conference Center Sarah Brown to receive the publication&#39;s Influential Women in Business Award (IWIB).</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/hilton_chicago_oak_brook_hills_resorts_sarah_brown_receives_daily_herald_business_ledgers_influential_women_in_business_award/prweb16697851.htm"" rel=""nofollow"">https://www.prweb.com/releases/hilton_chicago_oak_brook_hills_resorts_sarah_brown_receives_daily_herald_business_ledgers_influential_women_in_business_award/prweb16697851.htm</a></p>",https://www.prweb.com/releases/hilton_chicago_oak_brook_hills_resorts_sarah_brown_receives_daily_herald_business_ledgers_influential_women_in_business_award/prweb16697851.htm,False,prweb
1,Golden Bean Award Winners Headline November Menu at Crimson Cup Coffee Houses,text/plain,,http://www.prweb.com/rss2/daily.xml,Golden Bean Award Winners Headline November Menu at Crimson Cup Coffee Houses,enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16696731/tN_154098_NewsImage_vcsPRAsset_1153640_154098_34f3491f-a28d-4e62-ae60-f428a9046b3e_0.png,https://www.prweb.com/releases/golden_bean_award_winners_headline_november_menu_at_crimson_cup_coffee_houses/prweb16696731.htm,"Tue, 05 Nov 2019 08:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>This November, head to your nearest Crimson Cup Coffee House to warm up with award-winning coffee, lattes, espresso and other specialty coffee drinks.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/golden_bean_award_winners_headline_november_menu_at_crimson_cup_coffee_houses/prweb16696731.htm"" rel=""nofollow"">https://www.prweb.com/releases/golden_bean_award_winners_headline_november_menu_at_crimson_cup_coffee_houses/prweb16696731.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>This November, head to your nearest Crimson Cup Coffee House to warm up with award-winning coffee, lattes, espresso and other specialty coffee drinks.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/golden_bean_award_winners_headline_november_menu_at_crimson_cup_coffee_houses/prweb16696731.htm"" rel=""nofollow"">https://www.prweb.com/releases/golden_bean_award_winners_headline_november_menu_at_crimson_cup_coffee_houses/prweb16696731.htm</a></p>",https://www.prweb.com/releases/golden_bean_award_winners_headline_november_menu_at_crimson_cup_coffee_houses/prweb16696731.htm,False,prweb
2,Clarion Safety to Sponsor AFIA’s 2019 Equipment Manufacturers Conference,text/plain,,http://www.prweb.com/rss2/daily.xml,Clarion Safety to Sponsor AFIA’s 2019 Equipment Manufacturers Conference,enclosure,text/html,//ww1.prweb.com/prfiles/2017/10/30/16696449/tN_100784_Best%20Practice%20Safety%20Label%20-%20EMC%2021.png,https://www.prweb.com/releases/clarion_safety_to_sponsor_afias_2019_equipment_manufacturers_conference/prweb16696449.htm,"Tue, 05 Nov 2019 08:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>In line with Clarion Safety’s commitment to safety, the company will be sponsoring the American Feed Industry Association’s (AFIA) Equipment Manufacturers Conference (EMC), being held November 6 to 8 in Marco Island, Florida.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/clarion_safety_to_sponsor_afias_2019_equipment_manufacturers_conference/prweb16696449.htm"" rel=""nofollow"">https://www.prweb.com/releases/clarion_safety_to_sponsor_afias_2019_equipment_manufacturers_conference/prweb16696449.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>In line with Clarion Safety’s commitment to safety, the company will be sponsoring the American Feed Industry Association’s (AFIA) Equipment Manufacturers Conference (EMC), being held November 6 to 8 in Marco Island, Florida.</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/clarion_safety_to_sponsor_afias_2019_equipment_manufacturers_conference/prweb16696449.htm"" rel=""nofollow"">https://www.prweb.com/releases/clarion_safety_to_sponsor_afias_2019_equipment_manufacturers_conference/prweb16696449.htm</a></p>",https://www.prweb.com/releases/clarion_safety_to_sponsor_afias_2019_equipment_manufacturers_conference/prweb16696449.htm,False,prweb
3,"TEKLYNX Print Automation Solution, SENTINEL, Increases Print Speed & Labeling Accuracy for the Nation’s Largest Food Industry Redistributor, Dot Foods",text/plain,,http://www.prweb.com/rss2/daily.xml,"TEKLYNX Print Automation Solution, SENTINEL, Increases Print Speed & Labeling Accuracy for the Nation’s Largest Food Industry Redistributor, Dot Foods",enclosure,text/html,//ww1.prweb.com/prfiles/2019/11/04/16696208/tN_105799_NewsImage_vcsPRAsset_3079290_105799_ca4c79fb-1c89-40fb-ab06-fbb166fbc8e0_0.png,https://www.prweb.com/releases/teklynx_print_automation_solution_sentinel_increases_print_speed_labeling_accuracy_for_the_nations_largest_food_industry_redistributor_dot_foods/prweb16696208.htm,"Tue, 05 Nov 2019 08:00:00 GMT","time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=0)","<p>SENTINEL label print automation software automated instantaneous label print jobs for 300+ printers within 14 distribution centers across North America</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/teklynx_print_automation_solution_sentinel_increases_print_speed_labeling_accuracy_for_the_nations_largest_food_industry_redistributor_dot_foods/prweb16696208.htm"" rel=""nofollow"">https://www.prweb.com/releases/teklynx_print_automation_solution_sentinel_increases_print_speed_labeling_accuracy_for_the_nations_largest_food_industry_redistributor_dot_foods/prweb16696208.htm</a></p>",text/html,,http://www.prweb.com/rss2/daily.xml,"<p>SENTINEL label print automation software automated instantaneous label print jobs for 300+ printers within 14 distribution centers across North America</p><p>(PRWeb November 05, 2019)</p><p>Read the full story at <a href=""https://www.prweb.com/releases/teklynx_print_automation_solution_sentinel_increases_print_speed_labeling_accuracy_for_the_nations_largest_food_industry_redistributor_dot_foods/prweb16696208.htm"" rel=""nofollow"">https://www.prweb.com/releases/teklynx_print_automation_solution_sentinel_increases_print_speed_labeling_accuracy_for_the_nations_largest_food_industry_redistributor_dot_foods/prweb16696208.htm</a></p>",https://www.prweb.com/releases/teklynx_print_automation_solution_sentinel_increases_print_speed_labeling_accuracy_for_the_nations_largest_food_industry_redistributor_dot_foods/prweb16696208.htm,False,prweb
